,submission_date,outcome code,outcome year,semester,course,section,outcome score,outcome rating,college,compliance
27694,2022-04-18,CF4,U1516,SP2022,PHIL3080,1U,1.0,Minimum,College of Theology & Christian Ministry,Outcome assessed
27905,2022-04-25,CF4,U1516,SP2022,THEO3620,01,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
27908,2022-04-26,CF4,U1516,SP2022,THEO3620,01,1.0,Minimum,College of Theology & Christian Ministry,Outcome assessed
27914,2022-04-25,CF4,U1516,SP2022,PHIL3620,01,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
27919,2022-04-25,CF4,U1516,SP2022,THEO3620,01,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
32052,2022-04-17,CF4,U1516,SP2022,PHIL3080,1U,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
32052,2022-05-01,CF4,U1516,SP2022,PHIL3080,1U,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
34375,2022-05-01,CF4,U1516,SP2022,PHIL3080,1U,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
34421,2022-04-25,CF4,U1516,SP2022,THEO3620,01,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
34437,2022-04-25,CF4,U1516,SP2022,THEO3620,01,1.0,Minimum,College of Theology & Christian Ministry,Outcome assessed
34442,2022-05-02,CF4,U1516,SP2022,PHIL3080,1U,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
34571,2022-04-25,CF4,U1516,SP2022,THEO3620,01,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
34637,2022-04-25,CF4,U1516,SP2022,PHIL3620,01,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
34664,2022-04-25,CF4,U1516,SP2022,THEO3620,01,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
34741,2022-04-17,CF4,U1516,SP2022,PHIL3080,1U,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
34741,2022-05-01,CF4,U1516,SP2022,PHIL3080,1U,1.0,Minimum,College of Theology & Christian Ministry,Outcome assessed
34992,2022-04-17,CF4,U1516,SP2022,PHIL3080,1U,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
